epoch,n_mAP,n_mAP95,s_mAP,s_mAP95,m_mAP,m_mAP95,l_mAP,l_mAP95,x_mAP,x_mAP95
251,0.96419,0.77053,0.95841,0.80167,0.95975,0.84385,0.95027,0.84656,0.96474,0.85317
252,0.96677,0.76281,0.96311,0.80608,0.95709,0.8364,0.94616,0.84707,0.96471,0.85098
253,0.9678,0.77252,0.96346,0.8103,0.96202,0.84096,0.94705,0.85419,0.95998,0.86112
254,0.96722,0.76542,0.96181,0.8032,0.95853,0.83814,0.94505,0.85141,0.95911,0.86399
255,0.96333,0.76352,0.96059,0.80172,0.9586,0.8434,0.94434,0.84527,0.96357,0.86363
256,0.96312,0.76826,0.95842,0.79842,0.95945,0.84627,0.94621,0.84452,0.96186,0.85953
257,0.96425,0.77455,0.96039,0.79835,0.96425,0.85064,0.94795,0.84953,0.96512,0.86451
258,0.968,0.7808,0.95753,0.79829,0.96157,0.84755,0.94896,0.84706,0.96428,0.86659
259,0.96641,0.78115,0.96195,0.79754,0.96343,0.85036,0.94937,0.84492,0.9606,0.86591
260,0.96384,0.77966,0.96212,0.80849,0.96344,0.85351,0.94872,0.84867,0.96126,0.86421
261,0.95924,0.77615,0.95616,0.80414,0.95406,0.84187,0.95036,0.85192,0.96163,0.86385
262,0.96015,0.77202,0.95118,0.79171,0.9588,0.84655,0.952,0.85166,0.96734,0.86614
263,0.9604,0.76586,0.9536,0.78849,0.96141,0.84145,0.94828,0.84453,0.97221,0.86411
264,0.96552,0.77363,0.95078,0.79318,0.96361,0.84413,0.94714,0.84485,0.96933,0.8708
265,0.95932,0.78015,0.9478,0.78546,0.96234,0.84149,0.94847,0.84465,0.96752,0.85778
266,0.9583,0.77023,0.9521,0.79865,0.96345,0.84479,0.95043,0.84421,0.96467,0.86652
267,0.9579,0.7661,0.95511,0.79759,0.96157,0.83961,0.94845,0.84488,0.96844,0.86649
268,0.95845,0.76367,0.95603,0.79402,0.95245,0.83809,0.95115,0.84615,0.96779,0.874
269,0.9595,0.76872,0.95908,0.80245,0.96211,0.84149,0.9549,0.8512,0.96464,0.86792
270,0.95873,0.77424,0.95988,0.8032,0.96071,0.84163,0.95296,0.84842,0.95872,0.86503
271,0.95927,0.76751,0.95947,0.79903,0.95611,0.83619,0.95148,0.85076,0.95489,0.85876
272,0.96762,0.77632,0.95818,0.80284,0.9524,0.83841,0.95439,0.85152,0.9594,0.86729
273,0.96428,0.77682,0.95793,0.79901,0.9546,0.83746,0.95419,0.84718,0.96437,0.86646
274,0.96014,0.77699,0.95837,0.79348,0.95466,0.84271,0.95479,0.85022,0.96717,0.86816
275,0.95942,0.77778,0.95569,0.79668,0.95862,0.84929,0.95473,0.85366,0.96537,0.87145
276,0.95838,0.7734,0.95819,0.79921,0.95642,0.84257,0.95494,0.85411,0.96415,0.86682
277,0.95993,0.77617,0.96083,0.80483,0.95894,0.84384,0.95569,0.85515,0.96144,0.86699
278,0.96216,0.77417,0.96442,0.79495,0.95265,0.84217,0.95035,0.85201,0.96145,0.87484
279,0.96048,0.77254,0.96411,0.80737,0.95471,0.83794,0.94913,0.84548,0.96558,0.8679
280,0.95577,0.76712,0.957,0.80901,0.95781,0.83287,0.95307,0.84777,0.96737,0.87209
281,0.96037,0.77429,0.95899,0.80164,0.95903,0.8457,0.95,0.84574,0.96018,0.86602
282,0.9606,0.77343,0.95936,0.80319,0.96275,0.84502,0.95051,0.84842,0.96033,0.86836
283,0.9642,0.77236,0.9528,0.79742,0.96497,0.84663,0.94521,0.84064,0.96456,0.86926
284,0.96727,0.77935,0.95256,0.8004,0.96482,0.85383,0.9473,0.84516,0.9714,0.87512
285,0.95928,0.77984,0.96152,0.80684,0.96117,0.84469,0.94557,0.84672,0.97158,0.87595
286,0.95991,0.78527,0.96055,0.8032,0.95935,0.83983,0.94464,0.83447,0.97089,0.87171
287,0.95961,0.77994,0.96188,0.80049,0.95843,0.83995,0.94885,0.83893,0.9693,0.87418
288,0.95925,0.77547,0.95936,0.79699,0.95785,0.84451,0.95159,0.84885,0.97302,0.88333
289,0.96041,0.77288,0.95629,0.80204,0.95929,0.84742,0.95227,0.85704,0.96774,0.86931
290,0.96065,0.77657,0.9622,0.81171,0.95807,0.83803,0.9509,0.84892,0.96022,0.86803
291,0.95925,0.776,0.95316,0.80269,0.95813,0.83405,0.95001,0.84589,0.96627,0.86942
292,0.96091,0.78133,0.95388,0.80398,0.96151,0.841,0.95057,0.85009,0.96527,0.87183
293,0.96374,0.78277,0.95192,0.80018,0.95498,0.83651,0.94938,0.85023,0.9611,0.869
294,0.96168,0.77476,0.95658,0.79975,0.95936,0.84319,0.94967,0.84936,0.96373,0.868
295,0.96424,0.77099,0.95906,0.81054,0.96142,0.84144,0.94681,0.84573,0.96101,0.86422
296,0.9614,0.76651,0.9612,0.81489,0.96132,0.84577,0.94441,0.84043,0.95924,0.86235
297,0.95753,0.77192,0.95906,0.80656,0.96368,0.84357,0.94455,0.84496,0.9591,0.86567
298,0.95655,0.77654,0.95666,0.80457,0.96424,0.84499,0.94697,0.84838,0.9582,0.85951
299,0.95574,0.78066,0.95374,0.7981,0.96374,0.84842,0.94528,0.8481,0.96157,0.8682
300,0.9572,0.77724,0.95551,0.79787,0.95869,0.8419,0.94399,0.83862,0.96234,0.8715
301,0.96131,0.7774,0.9535,0.7984,0.96057,0.84208,0.94621,0.84272,0.96217,0.87252
302,0.96437,0.78197,0.95593,0.79958,0.95613,0.84194,0.94873,0.84151,0.96161,0.8665
303,0.96287,0.77995,0.95418,0.80193,0.9564,0.84114,0.94679,0.84588,0.95969,0.86093
304,0.96195,0.78217,0.95092,0.80159,0.94939,0.83893,0.94674,0.84816,0.95858,0.86553
305,0.9637,0.77751,0.95604,0.80697,0.9521,0.84644,0.94629,0.84433,0.96084,0.8693
306,0.96433,0.77449,0.95935,0.804,0.95625,0.83867,0.94864,0.84328,0.96018,0.86971
307,0.96291,0.77541,0.95784,0.80485,0.95685,0.83949,0.94642,0.8459,0.96322,0.86724
308,0.96085,0.7749,0.96313,0.80836,0.95323,0.83847,0.94296,0.84525,0.96216,0.86418
309,0.9567,0.77004,0.96033,0.80123,0.95574,0.84187,0.94354,0.84669,0.9595,0.86708
310,0.96109,0.77216,0.95937,0.79669,0.9589,0.84468,0.94743,0.8481,0.95926,0.8689
311,0.96435,0.77175,0.96118,0.79926,0.95937,0.84439,0.94781,0.8492,0.96389,0.86859
312,0.96265,0.77531,0.96361,0.80269,0.95846,0.84928,0.94915,0.85169,0.96424,0.87199
313,0.95809,0.7753,0.9635,0.81052,0.96275,0.85248,0.94888,0.85154,0.96563,0.87396
314,0.96518,0.78449,0.96701,0.81415,0.96348,0.84921,0.94504,0.85057,0.96544,0.87465
315,0.96405,0.78357,0.96505,0.8116,0.96597,0.85279,0.94283,0.84468,0.96843,0.87447
316,0.9617,0.77724,0.96484,0.8109,0.96193,0.84645,0.9426,0.84661,0.96676,0.87183
317,0.95758,0.77645,0.96412,0.81205,0.96341,0.85234,0.94407,0.85147,0.96981,0.87104
318,0.95842,0.78511,0.96182,0.80899,0.96125,0.84844,0.94398,0.84575,0.96675,0.87158
319,0.96373,0.79012,0.958,0.8046,0.95832,0.84602,0.94658,0.84634,0.9638,0.87461
320,0.96364,0.7838,0.95905,0.8068,0.95667,0.84406,0.94579,0.84726,0.96578,0.87087
321,0.96318,0.78192,0.96353,0.80742,0.96049,0.84466,0.94677,0.84997,0.96178,0.87235
322,0.95994,0.78339,0.97061,0.81138,0.96151,0.84514,0.94797,0.84871,0.9653,0.87449
323,0.95957,0.77971,0.9708,0.81784,0.961,0.84839,0.95104,0.8466,0.96209,0.87246
324,0.96148,0.78472,0.97051,0.81576,0.96159,0.85013,0.95492,0.85325,0.96077,0.87637
325,0.96309,0.78787,0.9674,0.81556,0.96139,0.84637,0.95708,0.85314,0.95884,0.87379
326,0.9622,0.78473,0.96538,0.81293,0.95933,0.8421,0.95613,0.85342,0.9616,0.87325
327,0.96286,0.78101,0.96452,0.81069,0.95898,0.84167,0.95389,0.85037,0.95829,0.87105
328,0.9628,0.77663,0.967,0.81653,0.95814,0.84421,0.9533,0.84997,0.95963,0.87576
329,0.96625,0.7798,0.96726,0.81761,0.96277,0.84433,0.95231,0.84558,0.96035,0.87847
330,0.96961,0.7835,0.96677,0.81945,0.95996,0.84763,0.9487,0.8475,0.96394,0.88204
331,0.96903,0.78342,0.96577,0.81925,0.95775,0.83734,0.94601,0.84145,0.96265,0.87548
332,0.96924,0.78056,0.96692,0.81671,0.95764,0.83829,0.94539,0.84119,0.96112,0.87405
333,0.96273,0.77569,0.96525,0.81649,0.95927,0.83776,0.94188,0.84108,0.96059,0.87477
334,0.96343,0.77308,0.96383,0.80861,0.96088,0.84424,0.94446,0.84858,0.96063,0.87542
335,0.96442,0.78003,0.96077,0.80716,0.96074,0.84833,0.94872,0.84822,0.96101,0.87382
336,0.96267,0.78309,0.95933,0.80472,0.95777,0.84398,0.94747,0.84808,0.96134,0.87351
337,0.96001,0.78135,0.95798,0.81106,0.95748,0.8458,0.94706,0.85042,0.96092,0.87509
338,0.96013,0.77644,0.96023,0.81285,0.9571,0.84968,0.9484,0.84954,0.96066,0.87775
339,0.96358,0.77736,0.96275,0.81539,0.95846,0.84529,0.94918,0.84806,0.9638,0.87698
340,0.96524,0.78132,0.96223,0.81451,0.95951,0.84894,0.94852,0.85353,0.9652,0.87507
341,0.96289,0.77853,0.96011,0.80909,0.96175,0.85153,0.94944,0.85159,0.96351,0.87558
342,0.96647,0.78082,0.96329,0.80991,0.95866,0.85107,0.94975,0.85068,0.96466,0.87193
343,0.96948,0.77993,0.96328,0.81207,0.957,0.84578,0.94951,0.84813,0.96377,0.86979
344,0.96584,0.77729,0.96233,0.81086,0.95851,0.84205,0.9504,0.85131,0.96583,0.87347
345,0.96208,0.77375,0.96241,0.81478,0.95758,0.84428,0.95298,0.8555,0.96664,0.87622
346,0.95985,0.77394,0.96238,0.81394,0.95958,0.84386,0.95318,0.85796,0.96684,0.87447
347,0.96519,0.77917,0.96081,0.81384,0.96165,0.84548,0.95331,0.85404,0.96709,0.87301
348,0.96429,0.78258,0.9611,0.80955,0.96218,0.84414,0.95356,0.85395,0.96473,0.8711
349,0.96321,0.7827,0.95689,0.80744,0.95793,0.84265,0.95574,0.85984,0.9636,0.87064
350,0.96083,0.77761,0.96063,0.81077,0.95924,0.84044,0.95556,0.85959,0.96037,0.8664
351,0.96051,0.7793,0.96084,0.80976,0.95953,0.84356,0.95464,0.85728,0.96405,0.8716
352,0.9621,0.78267,0.96186,0.81324,0.95688,0.84533,0.95371,0.85472,0.96445,0.87088
353,0.96041,0.78562,0.96304,0.81652,0.95773,0.84158,0.95278,0.85608,0.95959,0.87125
354,0.95894,0.78326,0.96163,0.81121,0.95644,0.84339,0.95342,0.86188,0.95983,0.87061
355,0.95905,0.78204,0.95584,0.80831,0.95825,0.84323,0.95218,0.85612,0.95968,0.86733
356,0.96219,0.78081,0.95918,0.80896,0.95687,0.84184,0.9516,0.8578,0.96227,0.86989
357,0.96005,0.77865,0.95843,0.81289,0.95536,0.84201,0.95206,0.8593,0.95909,0.87161
358,0.96511,0.77358,0.96329,0.81361,0.95576,0.84174,0.94925,0.85631,0.95809,0.87189
359,0.96851,0.78286,0.96507,0.81373,0.95347,0.83553,0.95176,0.8581,0.95813,0.87271
360,0.96656,0.78433,0.96657,0.81912,0.9533,0.83937,0.95141,0.85729,0.95845,0.87318
361,0.96516,0.78054,0.9661,0.81685,0.95823,0.83973,0.95091,0.85756,0.96166,0.87359
362,0.96383,0.78218,0.96797,0.81863,0.95949,0.8435,0.9498,0.85354,0.96458,0.87639
363,0.96115,0.78009,0.96972,0.82119,0.95952,0.84065,0.94841,0.8513,0.96332,0.87528
364,0.95841,0.78434,0.97106,0.82366,0.95914,0.83997,0.94941,0.85044,0.96587,0.87722
365,0.95953,0.78414,0.97099,0.82616,0.96107,0.8433,0.94952,0.85234,0.96575,0.87583
366,0.95882,0.77795,0.97092,0.81876,0.95738,0.84653,0.94898,0.84995,0.96255,0.87308
367,0.95737,0.78403,0.96994,0.82149,0.95613,0.84403,0.94862,0.84593,0.96354,0.87627
368,0.95812,0.7843,0.96983,0.81863,0.95424,0.84461,0.94808,0.84939,0.95978,0.87473
369,0.96047,0.78532,0.96727,0.81828,0.95531,0.83999,0.94735,0.85172,0.95852,0.87359
370,0.96069,0.77964,0.9667,0.81434,0.95488,0.84309,0.94996,0.85436,0.95719,0.87212
371,0.96061,0.78542,0.96625,0.81835,0.95308,0.84611,0.9511,0.85854,0.95536,0.87122
372,0.96109,0.78646,0.96545,0.81181,0.95589,0.84936,0.95043,0.85709,0.95881,0.87594
373,0.96068,0.78846,0.96395,0.8152,0.95605,0.84858,0.94995,0.85664,0.96005,0.8759
374,0.96119,0.79315,0.96344,0.81742,0.95609,0.84834,0.94946,0.85333,0.95806,0.87119
375,0.96215,0.79118,0.96168,0.81252,0.95641,0.84968,0.94973,0.85548,0.96028,0.8699
376,0.96271,0.79012,0.96287,0.81369,0.95446,0.8473,0.94996,0.85901,0.96063,0.87264
377,0.96441,0.79121,0.96472,0.81323,0.9521,0.84754,0.95021,0.85613,0.9621,0.87094
378,0.9636,0.78697,0.96715,0.82098,0.95112,0.84323,0.95207,0.8546,0.95659,0.86954
379,0.96592,0.78538,0.96632,0.82163,0.95603,0.84454,0.952,0.85069,0.95682,0.87098
380,0.96484,0.78543,0.96571,0.81981,0.95458,0.8486,0.95108,0.85076,0.95723,0.87003
381,0.9635,0.78006,0.96354,0.81919,0.95421,0.84566,0.95204,0.85239,0.95666,0.86892
382,0.96288,0.7825,0.96162,0.81939,0.95741,0.8477,0.95221,0.85266,0.95776,0.86979
383,0.96226,0.78414,0.96222,0.81721,0.9545,0.8467,0.95143,0.85253,0.95886,0.87252
384,0.96285,0.78621,0.962,0.81887,0.95484,0.84413,0.95092,0.85373,0.95979,0.87341
385,0.96369,0.78743,0.96263,0.81928,0.95841,0.84691,0.95092,0.85265,0.95977,0.87285
386,0.96384,0.78502,0.96536,0.82189,0.95826,0.84808,0.95073,0.85514,0.96017,0.87492
387,0.96289,0.78303,0.96691,0.82534,0.95881,0.84931,0.95117,0.85672,0.95744,0.87374
388,0.96442,0.78568,0.96669,0.81677,0.95943,0.85034,0.95187,0.8613,0.95456,0.87037
389,0.96508,0.78794,0.96616,0.81221,0.96011,0.8502,0.95295,0.85924,0.95695,0.87217
390,0.96309,0.78545,0.96463,0.81898,0.96016,0.85304,0.95323,0.86261,0.95465,0.87105
391,0.96328,0.78074,0.96689,0.81272,0.95993,0.84853,0.95279,0.85912,0.95883,0.87718
392,0.96497,0.78248,0.96836,0.8164,0.95792,0.84813,0.95313,0.85986,0.95835,0.87388
393,0.96483,0.78804,0.9682,0.82286,0.95669,0.8487,0.95165,0.86468,0.95818,0.87357
394,0.96494,0.78818,0.96644,0.81917,0.9565,0.84961,0.95177,0.86251,0.95504,0.87125
395,0.96143,0.78938,0.9646,0.816,0.95498,0.85019,0.9536,0.86405,0.9571,0.87365
396,0.96046,0.78389,0.9638,0.81636,0.95601,0.85104,0.95368,0.86172,0.95726,0.87249
397,0.95982,0.78891,0.96484,0.81516,0.95551,0.85029,0.95322,0.85864,0.95765,0.87306
398,0.96059,0.78965,0.96452,0.81292,0.95727,0.85348,0.9549,0.86329,0.96075,0.87419
399,0.96111,0.79053,0.96339,0.81856,0.95799,0.85133,0.95445,0.861,0.96163,0.87564
400,0.96084,0.78524,0.96242,0.82065,0.95795,0.85035,0.95433,0.8618,0.95838,0.86867
401,0.96284,0.78511,0.96322,0.82051,0.95645,0.85316,0.95501,0.86204,0.96052,0.87228
402,0.96061,0.78401,0.96638,0.82282,0.9566,0.85432,0.95449,0.86511,0.95848,0.87236
403,0.96005,0.78318,0.96451,0.81862,0.95809,0.85321,0.95281,0.86172,0.95761,0.8705
404,0.96007,0.77983,0.96366,0.81797,0.95714,0.85067,0.9543,0.85894,0.95478,0.87021
405,0.96139,0.78338,0.96274,0.81728,0.95708,0.84696,0.95481,0.86055,0.9526,0.86732
406,0.96346,0.78756,0.96004,0.82046,0.9553,0.84718,0.95469,0.86021,0.9528,0.86905
407,0.96382,0.79105,0.96093,0.81813,0.95592,0.84807,0.95431,0.85908,0.95389,0.86944
408,0.96344,0.78467,0.961,0.81662,0.95563,0.84835,0.95288,0.85606,0.9543,0.86797
409,0.96079,0.78371,0.96022,0.81463,0.956,0.8465,0.95346,0.85903,0.95431,0.8693
410,0.95761,0.78532,0.96098,0.81745,0.95707,0.84772,0.95353,0.86387,0.95348,0.86615
411,0.95607,0.78512,0.96071,0.82116,0.95704,0.84871,0.95429,0.8668,0.95965,0.87464
412,0.9575,0.77964,0.95743,0.81732,0.95468,0.84949,0.95361,0.86311,0.96262,0.87307
413,0.95939,0.78075,0.96023,0.81785,0.95379,0.85194,0.95445,0.86069,0.96273,0.87396
414,0.96032,0.78238,0.96327,0.82034,0.95634,0.85134,0.95261,0.8619,0.96276,0.87284
415,0.96021,0.78323,0.96435,0.82088,0.96073,0.8517,0.9536,0.86128,0.96248,0.87289
416,0.9584,0.79191,0.96531,0.8219,0.96254,0.85387,0.95427,0.86179,0.96009,0.87061
417,0.96047,0.78924,0.9653,0.8186,0.9626,0.8571,0.95291,0.85781,0.9615,0.87196
418,0.96077,0.79153,0.9651,0.82375,0.96236,0.85626,0.95288,0.85938,0.96146,0.86937
419,0.96183,0.78925,0.9645,0.82289,0.96157,0.853,0.95367,0.86083,0.96073,0.8716
420,0.95979,0.78759,0.96413,0.82147,0.96219,0.85237,0.95341,0.86018,0.9609,0.8712
421,0.96105,0.78914,0.96357,0.81837,0.95861,0.85409,0.95248,0.8599,0.96113,0.86707
422,0.95908,0.78556,0.96307,0.82203,0.96165,0.85535,0.95417,0.85943,0.96172,0.86652
423,0.95849,0.78095,0.96462,0.82373,0.96152,0.85733,0.95483,0.86122,0.96102,0.87043
424,0.95915,0.78473,0.96388,0.82357,0.96192,0.85632,0.95463,0.86224,0.96162,0.87069
425,0.96176,0.79007,0.96292,0.8259,0.96174,0.8582,0.95342,0.8598,0.9622,0.87335
426,0.96207,0.79106,0.96269,0.82179,0.95822,0.85487,0.95485,0.86141,0.95862,0.87118
427,0.96183,0.79145,0.96425,0.81993,0.96001,0.85175,0.95488,0.86309,0.9587,0.87058
428,0.96515,0.79278,0.96374,0.82142,0.95968,0.85013,0.95475,0.86127,0.95876,0.87291
429,0.96091,0.79306,0.96403,0.82085,0.95938,0.84798,0.95242,0.86191,0.96257,0.87359
430,0.96044,0.7916,0.96142,0.81768,0.95886,0.85065,0.9521,0.85926,0.96073,0.87119
431,0.96197,0.79175,0.95968,0.81854,0.95767,0.85264,0.95145,0.86105,0.96054,0.872
432,0.96092,0.78748,0.96034,0.81924,0.95759,0.85193,0.95046,0.86231,0.95951,0.87377
433,0.96065,0.79133,0.95997,0.81725,0.95816,0.85348,0.95265,0.86281,0.95965,0.87308
434,0.95877,0.78577,0.96013,0.81329,0.95783,0.85237,0.95315,0.86182,0.96221,0.87504
435,0.96383,0.78564,0.96199,0.81456,0.95816,0.85203,0.95315,0.86635,0.96469,0.87699
436,0.96032,0.78454,0.96273,0.81681,0.9584,0.85491,0.95258,0.86217,0.96567,0.87963
437,0.96066,0.78526,0.96298,0.81703,0.95912,0.85532,0.95368,0.86196,0.9684,0.87899
438,0.95974,0.78269,0.96172,0.81762,0.95709,0.85461,0.95091,0.85941,0.96489,0.87631
439,0.95914,0.77836,0.96108,0.81668,0.95715,0.85524,0.95095,0.8616,0.96501,0.87634
440,0.96077,0.78503,0.9601,0.81738,0.95831,0.8562,0.95264,0.8612,0.96323,0.87448
441,0.96133,0.78767,0.96023,0.81594,0.95978,0.85652,0.95286,0.85903,0.96527,0.87271
442,0.96057,0.78596,0.95958,0.81875,0.96006,0.85518,0.95269,0.86052,0.96532,0.87112
443,0.95987,0.7854,0.96371,0.81944,0.96036,0.85812,0.95203,0.86073,0.96672,0.87464
444,0.96084,0.78317,0.96336,0.82273,0.96205,0.85838,0.95447,0.86466,0.97098,0.87393
445,0.96104,0.78413,0.96391,0.81929,0.96017,0.85642,0.95432,0.86551,0.96895,0.87375
446,0.96227,0.78779,0.96421,0.81805,0.96021,0.85312,0.95447,0.86569,0.96673,0.87288
447,0.96252,0.7898,0.96333,0.81587,0.95818,0.85003,0.95611,0.864,0.96693,0.87287
448,0.96162,0.78587,0.96379,0.81818,0.9578,0.84955,0.95353,0.86182,0.96542,0.87224
449,0.96103,0.78772,0.96239,0.82063,0.9594,0.85365,0.95511,0.86394,0.96593,0.87451
450,0.96092,0.78715,0.96133,0.81815,0.95804,0.85209,0.95379,0.86137,0.96615,0.87677
451,0.96099,0.78665,0.95972,0.81838,0.95756,0.85195,0.95309,0.86315,0.96343,0.87736
452,0.96297,0.79134,0.96001,0.81981,0.9566,0.85247,0.95276,0.86198,0.96317,0.87835
453,0.96359,0.79249,0.96016,0.8182,0.95695,0.8532,0.95292,0.86146,0.96294,0.87692
454,0.96383,0.79115,0.9587,0.82104,0.95675,0.85396,0.95277,0.85994,0.9626,0.87723
455,0.96431,0.78886,0.95732,0.81562,0.95724,0.85347,0.95263,0.8611,0.95962,0.87639
456,0.96402,0.78944,0.95822,0.81653,0.9576,0.85219,0.95266,0.86003,0.96222,0.87696
457,0.96533,0.79227,0.9594,0.818,0.95751,0.85299,0.95261,0.86097,0.96186,0.87642
458,0.96415,0.7941,0.95721,0.81854,0.95803,0.85474,0.95374,0.86183,0.96227,0.87652
459,0.96428,0.7921,0.95691,0.81723,0.95806,0.85628,0.95398,0.86379,0.96469,0.87819
460,0.96355,0.79072,0.95715,0.8188,0.95783,0.85452,0.95397,0.86053,0.96481,0.87741
461,0.96393,0.7978,0.95892,0.81936,0.95961,0.85283,0.9534,0.85965,0.96673,0.87459
462,0.96441,0.79562,0.95588,0.81554,0.95847,0.85295,0.95368,0.86168,0.96706,0.87815
463,0.96517,0.79671,0.95755,0.81801,0.95861,0.85294,0.95384,0.86189,0.96947,0.87783
464,0.96405,0.79607,0.95824,0.819,0.95865,0.85442,0.95403,0.86253,0.96657,0.87617
465,0.9637,0.79645,0.96052,0.81893,0.95664,0.85344,0.95463,0.8644,0.96654,0.87776
466,0.96396,0.79342,0.95953,0.81633,0.95774,0.85431,0.95513,0.86425,0.96461,0.87832
467,0.96534,0.79099,0.96038,0.81854,0.95792,0.85396,0.95511,0.86296,0.96439,0.87729
468,0.96521,0.7909,0.95971,0.82015,0.95919,0.85487,0.95467,0.86561,0.96434,0.87802
469,0.96643,0.79182,0.96187,0.82214,0.96009,0.85445,0.95236,0.86124,0.96248,0.87694
470,0.96716,0.79048,0.96175,0.8216,0.96011,0.85439,0.95247,0.86198,0.96291,0.8774
471,0.96598,0.78975,0.96128,0.82391,0.96011,0.85497,0.95243,0.8619,0.96371,0.87704
472,0.96477,0.7882,0.96047,0.82283,0.95968,0.85349,0.95237,0.86248,0.96199,0.8758
473,0.96407,0.79107,0.96105,0.82218,0.95962,0.85212,0.95288,0.86309,0.96208,0.87766
474,0.96423,0.78993,0.96091,0.82191,0.95936,0.85413,0.95305,0.8658,0.962,0.87808
475,0.96452,0.79096,0.95954,0.82204,0.95922,0.85577,0.95323,0.86604,0.96193,0.87653
476,0.96477,0.79312,0.96052,0.82098,0.95761,0.8538,0.95325,0.86538,0.96179,0.87648
477,0.9651,0.79122,0.96029,0.81993,0.95773,0.85413,0.95336,0.86628,0.96146,0.8751
478,0.96519,0.79072,0.9604,0.8184,0.95692,0.8552,0.95314,0.86534,0.96126,0.87369
479,0.9649,0.78951,0.961,0.81898,0.95685,0.85462,0.95292,0.86568,0.96121,0.87331
480,0.96476,0.78768,0.96117,0.81938,0.95705,0.85543,0.95322,0.8651,0.96184,0.87358
481,0.96405,0.7895,0.96144,0.82028,0.95868,0.85552,0.95296,0.86315,0.95999,0.87412
482,0.96361,0.78833,0.96071,0.82188,0.95851,0.85527,0.95238,0.86269,0.9597,0.87474
483,0.96349,0.78962,0.96188,0.82268,0.95729,0.85433,0.95186,0.86282,0.96182,0.87367
484,0.96352,0.79036,0.96056,0.82338,0.95758,0.85539,0.952,0.86355,0.96343,0.87409
485,0.96349,0.79117,0.96041,0.82281,0.95798,0.85581,0.9518,0.86572,0.96318,0.87358
486,0.96404,0.79444,0.96079,0.82192,0.95821,0.85541,0.95163,0.86475,0.96319,0.87113
487,0.9644,0.79131,0.96059,0.81951,0.95823,0.85722,0.95218,0.86466,0.96441,0.87421
488,0.96413,0.78912,0.95846,0.81994,0.95815,0.85643,0.95205,0.86407,0.96285,0.87301
489,0.96375,0.78762,0.96035,0.81897,0.95816,0.8575,0.95162,0.86362,0.96124,0.87115
490,0.96338,0.7877,0.96011,0.82115,0.95796,0.8556,0.95153,0.8645,0.96358,0.8693
491,0.96317,0.7889,0.96222,0.81865,0.95636,0.85401,0.95271,0.86374,0.96591,0.87211
492,0.95932,0.78428,0.96189,0.81526,0.95319,0.85339,0.95166,0.85919,0.96476,0.87103
493,0.95701,0.7842,0.96009,0.8098,0.94962,0.84963,0.95097,0.85635,0.96648,0.87305
494,0.9542,0.77891,0.95582,0.80403,0.948,0.8499,0.94924,0.85263,0.96406,0.87464
495,0.95358,0.7756,0.95467,0.80311,0.94684,0.8461,0.94908,0.85044,0.95943,0.86986
496,0.95271,0.77458,0.95426,0.80066,0.94542,0.84507,0.94829,0.85056,0.95932,0.86873
497,0.95312,0.77617,0.95424,0.80021,0.94455,0.84238,0.94823,0.85174,0.95955,0.86925
498,0.95322,0.77638,0.95472,0.79991,0.94401,0.84081,0.94804,0.85235,0.95978,0.87068
499,0.95289,0.77536,0.95575,0.80194,0.94376,0.84069,0.94789,0.85363,0.95991,0.86966
500,0.9523,0.77542,0.95687,0.80096,0.94454,0.84128,0.94635,0.85498,0.96035,0.87078
